WORD,POLARITY
great,1
good,1
like,1
best,1
excellent,1
delicious,1
nice,1
friendly,1
well,1
better,1
recommend,1
fresh,1
love,1
wonderful,1
worth,1
attentive,1
cheap,-1
reasonable,1
pretty,1
amazing,1
expensive,-1
perfect,1
hot,1
romantic,1
authentic,1
favorite,1
bad,-1
fast,1
fantastic,1
cool,1
warm,1
decent,1
disappointed,-1
rude,-1
enjoy,1
fun,1
overpriced,-1
right,1
top,1
fine,1
cold,-1
enjoyed,1
outstanding,1
horrible,-1
mediocre,-1
slow,-1
enough,1
prompt,1
happy,1
cozy,1
affordable,1
fried,-1
impressed,1
work,1
reasonably,1
recommended,1
beautiful,1
terrible,-1
crowded,-1
pleasant,1
wrong,-1
cute,1
worst,-1
pricey,-1
poor,-1
dim,-1
terrific,1
comfortable,1
sweet,1
inexpensive,1
loved,1
interesting,1
awesome,1
incredible,1
loud,-1
helpful,1
lovely,1
spectacular,1
superb,1
awful,-1
hang,-1
super,1
consistently,1
variety,1
fabulous,1
quiet,1
satisfied,1
relaxed,1
pleasantly,1
bland,-1
problem,-1
dark,-1
intimate,1
incredibly,1
miss,-1
gem,1
disappointing,-1
clean,1
solid,1
glad,1
soft,1
creative,1
fair,1
free,1
liked,1
easy,1
lack,-1
modern,1
enjoying,1
delectable,1
complimentary,1
smile,1
delightful,1
lucky,1
amazed,1
promptly,1
delight,1
pathetic,-1
die,-1
noise,-1
enjoyable,1
hard,-1
grand,1
unfortunately,-1
available,1
greatest,1
doubt,-1
popular,1
efficient,1
stumbled,-1
trendy,1
split,-1
willing,1
overbearing,-1
speedy,1
waste,-1
classic,1
positive,1
noisy,-1
cramped,-1
fancy,1
chic,1
adorable,1
tanks,-1
break,-1
courteous,1
trouble,-1
worked,1
sorry,-1
annoying,-1
charming,1
exceptional,1
thank,1
lousy,-1
comfort,1
attractive,1
heaven,1
refreshing,1
notorious,-1
crazy,-1
gracious,1
impress,1
worse,-1
limited,-1
celebrate,1
complained,-1
lacking,-1
hurt,-1
works,1
healthy,1
comforting,1
negative,-1
classy,1
hate,-1
ripped,-1
consistent,1
funky,-1
overrated,-1
nightmare,-1
poorly,-1
hospitable,1
quaint,1
exciting,1
fell,-1
arrogant,-1
odd,-1
disappointment,-1
prefer,1
perfection,1
fairly,1
impressive,1
freshest,1
phenomenal,1
nasty,-1
memorable,1
exorbitant,-1
ease,1
delightfully,1
sleek,1
delicate,1
bother,-1
awsome,1
nonsense,-1
top-notch,1
strike,-1
bored,-1
clearly,1
uncomfortable,-1
pleased,1
welcome,1
accurate,1
pretentious,-1
standout,1
problems,-1
satisfying,1
crappy,-1
warmly,1
sweetness,1
bargain,1
stew,-1
complaint,-1
famous,1
nicest,1
unbelievably,-1
complain,-1
beautifully,1
ready,1
generous,1
tender,1
fatty,-1
perfectly,1
luck,1
respect,1
unlimited,1
efficiently,1
chill,-1
amazingly,1
excuse,-1
extraordinary,1
favor,1
wow,1
impeccable,1
snobs,-1
promised,1
unattractive,-1
mess,-1
missed,-1
recommendation,1
dissapointed,-1
ghetto,-1
bum,-1
important,1
dreadful,-1
overwhelmed,-1
harasses,-1
fans,1
thrilled,1
fuss,-1
mashed,-1
appreciate,1
amuse,1
enjoys,1
reputation,1
dirt-cheap,1
ripoff,-1
absurdly,-1
clumsy,-1
unbelievable,-1
lemon,-1
drawback,-1
freezing,-1
grace,1
alluring,1
hype,-1
annoyed,-1
knowledgeable,1
rough,-1
disgusting,-1
instantly,1
proper,1
ignore,-1
unpleasantries,-1
trust,1
worthwhile,1
magnificent,1
shake,-1
pig,-1
stale,-1
disapointed,-1
picky,-1
reliable,1
lies,-1
significant,1
superior,1
feat,1
seasoned,1
desert,-1
miserable,-1
lover,1
amiable,1
wild,-1
complicated,-1
ridiculously,-1
shame,-1
lazy,-1
fastest,1
difficult,-1
gorgeous,1
loves,1
sour,-1
polite,1
elegant,1
outrageously,-1
unexpected,-1
entertaining,1
harried,-1
raving,-1
clear,1
plentiful,1
convenient,1
horrid,-1
unappealing,-1
exellent,1
overwhelm,-1
irritating,-1
fave,1
timely,1
smooth,1
delighted,1
dedicated,1
goodness,1
wonderfully,1
pride,1
treasure,1
died,-1
freeze,-1
hesitant,-1
holy,1
cheapest,1
lacked,-1
helping,1
scream,-1
patient,1
heartily,1
incompetent,-1
kill,-1
comfy,1
insultingly,-1
horrendous,-1
burned,-1
fooled,-1
passion,1
qualms,-1
marginally,-1
boring,-1
frozen,-1
sub-par,-1
improves,1
smart,1
weary,-1
lively,1
scratch,-1
colorful,1
mundane,-1
offensive,-1
calm,1
dynamic,1
greedy,-1
cheaper,1
divine,1
skeptical,-1
celebration,1
pleasurable,1
appealing,1
sexy,1
dissappointed,-1
greasy,-1
exquisite,1
fascinating,1
fortune,1
understandable,1
remorse,-1
outshine,1
innovative,1
disloyal,-1
liking,1
haze,-1
angry,-1
redeeming,1
frantic,-1
capable,1
improved,1
excited,1
intimidating,-1
hottest,1
magic,1
failed,-1
inventive,1
golden,1
enthusiastic,1
lush,1
cleanest,1
solicitous,1
terribly,-1
obnoxious,-1
warned,-1
jealous,-1
brilliant,1
marvelous,1
strange,-1
generously,1
luxury,1
dirty,-1
warning,-1
idle,-1
stunningly,1
regret,-1
drunk,-1
complaining,-1
blasted,-1
fake,-1
unfriendly,-1
recomend,1
angel,1
economical,1
sad,-1
addicted,-1
oasis,1
recommendations,1
bright,1
unhappy,-1
tired,-1
exceed,1
exceptionally,1
ridiculous,-1
leads,1
lurking,-1
impossible,-1
joke,-1
correct,1
deficiencies,-1
adventurous,1
tops,1
murky,-1
support,1
unforgettable,1
wonder,1
concern,-1
spotty,-1
convenience,1
wise,1
lone,-1
downside,-1
rip-off,-1
refused,-1
worry,-1
hassle,-1
remarkably,1
kudos,1
conveniently,1
loving,1
likes,1
lie,-1
overlook,-1
worried,-1
unable,-1
berate,-1
steal,-1
ranting,-1
ruined,-1
wary,-1
sublime,1
weird,-1
slowly,-1
killer,-1
wins,1
devoid,-1
nagging,-1
skimpy,-1
miraculously,1
stinks,-1
shockingly,-1
beauty,1
death,-1
kindly,1
insanely,-1
charmingly,1
admire,1
erroneously,-1
unknown,-1
masters,1
easier,1
miscellaneous,-1
accessible,1
cracked,-1
homage,1
indifferent,-1
uneventful,-1
graciously,1
genuine,1
long-time,-1
sufficient,1
inconsistent,-1
peaceful,1
rich,1
dismayed,-1
bumped,-1
integral,1
loose,-1
impresses,1
monster,-1
wasted,-1
sticky,-1
refuse,-1
unwelcome,-1
all-around,1
hated,-1
flaky,-1
flashy,1
disappoint,-1
winning,1
frustrating,-1
trap,-1
adore,1
congestion,-1
die-hard,-1
reluctant,-1
disapointing,-1
gross,-1
dreadfully,-1
stylish,1
happier,1
screwed,-1
complains,-1
defiantly,-1
finest,1
unfortunate,-1
steep,-1
afford,1
aweful,-1
lumpy,-1
hostile,-1
sick,-1
snobby,-1
smelled,-1
charm,1
disaster,-1
fresher,1
thrill,1
complementary,1
prize,1
uneven,-1
concerned,-1
worthy,1
unusually,-1
distract,-1
blah,-1
sucks,-1
heck,-1
randomly,-1
broke,-1
mind-blowing,1
bloom,1
compact,1
strangest,-1
disinterested,-1
unavailable,-1
smell,-1
skillfully,1
indulge,-1
precisely,1
needless,-1
fussy,-1
atrocious,-1
mistake,-1
elegantly,1
nicely,1
supreme,1
upscale,1
successes,1
suspicious,-1
hissed,-1
award,1
overdone,-1
confusing,-1
graceless,-1
modest,1
allergies,-1
excelent,1
substandard,-1
imposing,-1
meaningless,-1
criticize,-1
gimmick,-1
snappy,1
inconsiderate,-1
adequate,1
risky,-1
stuffy,-1
louder,-1
exceeded,1
promising,1
fav,1
thinner,1
delicacy,1
unnecessary,-1
discourage,-1
idiots,-1
badly,-1
evil,-1
liberty,1
suspect,-1
excellence,1
pinnacle,1
engaging,1
scared,-1
healthful,1
smiles,1
gawky,-1
commend,1
favorable,1
patronize,-1
suffer,-1
limp,-1
bothered,-1
destroy,-1
praise,1
utterly,-1
unpleasant,-1
dazzling,1
strict,-1
unbiased,1
boiling,-1
harsh,-1
unwanted,-1
bitter,-1
dent,-1
horrified,-1
gimmicks,-1
progress,1
attraction,1
wows,1
distinctive,1
wimpy,-1
warmer,1
effective,1
squash,-1
sketchy,-1
smitten,1
refinement,1
heavenly,1
humble,1
mad,-1
twist,-1
smoke,-1
flair,-1
famished,-1
messy,-1
whining,-1
sensations,1
hideously,-1
loyalty,1
inappropriate,-1
lag,-1
promise,1
gain,1
robust,1
precise,1
